Country,Life expectancy at birth,Life expectancy at birth_1,Life expectancy at birth_2
,Both,Male,Female
Norway,83.0,81.2,84.7
Oman,73.9,73.0,75.3
Pakistan,65.6,64.6,66.7
Panama,79.3,76.6,82.1
Papua New Guinea,65.3,63.4,67.4
Paraguay,75.8,73.1,78.8
Peru,79.9,78.5,81.3
Philippines,70.4,67.4,73.6
Poland,78.3,74.5,81.9
Portugal,81.6,78.6,84.4
Qatar,77.2,78.0,76.6
Romania,75.6,72.0,79.3
Russian Federation,73.2,68.2,78.0
Rwanda,69.1,66.9,71.2
Saint Lucia,74.3,71.3,77.7
Saint Vincent and the Grenadines,73.2,71.3,75.3
Samoa,70.5,69.2,71.8
Sao Tome and Principe,70.4,68.8,72.0
Saudi Arabia,74.3,73.1,76.1
Senegal,68.6,66.8,70.1
Serbia,75.9,73.5,78.3
Seychelles,73.3,70.0,77.1
Sierra Leone,60.8,59.6,61.9
Singapore,83.2,81.0,85.5
Slovakia,78.2,74.8,81.4
Slovenia,81.3,78.6,84.1
Solomon Islands,65.2,62.9,67.9
Somalia,56.5,54.0,59.2
South Africa,65.3,62.2,68.3
South Korea,83.3,80.3,86.1
South Sudan,62.8,60.8,64.8
Spain,83.2,80.7,85.7
Sri Lanka,76.9,73.8,79.8
Sudan,69.1,67.6,70.8
Suriname,71.5,68.5,74.6
Sweden,82.4,80.8,84.0
Switzerland,83.4,81.8,85.1
Syria,72.7,71.2,74.3
Tajikistan,69.5,67.6,71.5
Tanzania,67.3,65.4,69.3
Thailand,77.7,74.4,81.0
Timor-Leste,69.6,67.9,71.4
Togo,64.3,61.5,67.2
Tonga,72.6,69.8,75.6
Trinidad and Tobago,76.1,72.5,79.9
Tunisia,77.0,74.9,79.2
Turkey,78.6,76.4,80.7
Turkmenistan,69.7,66.5,73.0
Uganda,66.7,63.2,70.1
Ukraine,73.0,68.0,77.8
United Arab Emirates,76.1,75.1,78.4
United Kingdom,81.4,79.8,83.0
United States of America,78.5,76.3,80.7
Uruguay,77.1,73.5,80.6
Uzbekistan,73.0,70.8,75.2
Vanuatu,65.3,62.7,68.3
Venezuela,73.9,69.9,78.2
Viet Nam,73.7,69.6,78.1
Yemen,66.6,64.4,68.9
Zambia,62.5,59.5,65.4
Zimbabwe,60.7,57.5,63.6
